siteID,siteLabel,siteConnectionString,LanNo,theLabel,NodeAddress,theLabel,outPin,deviCeResponse,nodeIpAddr,TimeMasterStatus
427,Easter Bush Centre Building,IP172.16.4.161,15,Block 2 SF,53,ZC-SB2-03,0,IQeco38 Iss2.30 Apr 26 2016,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,15,Block 2 SF,52,ZC-SB2-02,0,IQeco38 Iss2.30 Apr 26 2016,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,15,Block 2 SF,51,ZC-SB2-01,0,IQeco38 Iss2.30 Apr 26 2016,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,15,Block 2 SF,45,FCU-SB2-15,0,IQeco38 Iss2.31 Mar 24 2017,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,15,Block 2 SF,44,FCU-SB2-14,0,IQeco38 Iss2.31 Mar 24 2017,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,15,Block 2 SF,43,FCU-SB2-13,0,IQeco38 Iss2.31 Mar 24 2017,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,15,Block 2 SF,42,FCU-SB2-12,0,IQeco38 Iss2.31 Mar 24 2017,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,15,Block 2 SF,41,FCU-SB2-11,0,IQeco38 Iss2.31 Mar 24 2017,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,15,Block 2 SF,40,FCU-SB2-10,0,IQeco38 Iss2.31 Mar 24 2017,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,15,Block 2 SF,9,Block 2 2nd Floor Riser,0,IQ4NC0 Iss3.41 Aug  3 2016,172.16.4.169,1
427,Easter Bush Centre Building,IP172.16.4.161,14,Block 2 FF,126,Block 2 FF,0,IQ4NCBINC Iss8.10 Mar 0,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,14,Block 2 FF,99,99,0,No Reply,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,14,Block 2 FF,36,ZC-FB2-06,0,IQeco38 Iss2.30 Apr 26 2016,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,14,Block 2 FF,35,ZC-FB2-05,0,IQeco38 Iss2.30 Apr 26 2016,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,14,Block 2 FF,34,ZC-FB2-04,0,IQeco38 Iss2.30 Apr 26 2016,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,14,Block 2 FF,33,ZC-FB2-03,0,IQeco38 Iss2.30 Apr 26 2016,#N/A#,3
427,Easter Bush Centre Building,IP172.16.4.161,14,Block 2 FF,32,ZC-FB2-02,0,IQeco38 Iss2.30 Apr 26 2016,#N/A#,3
